user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned,gender_code,is_anomaly,anomaly_score,predicted_gender,correct_prediction,prediction_uncertainty
U126497,48,Female,Germany,38,Basic,12.99,Credit Card,Smart TV,3,Romance,68,2,6,86,3.3,24,99,0,No,1,False,0,Female,True,0.22999999999999998
U142111,26,Female,Spain,6,Basic,12.99,Debit Card,Smart TV,1,Thriller,14,4,4,79,4.3,11,53,24,No,1,False,0,Female,True,0.26
U130188,32,Other,India,51,Basic,15.99,UPI,Mobile,2,Drama,221,7,13,37,1.6,48,66,8,No,2,False,0,Male,False,0.56
U137237,39,Male,USA,8,Basic,12.99,Debit Card,Laptop,2,Horror,257,11,5,86,2.7,40,88,49,No,0,False,0,Male,True,0.25
U133109,29,Female,Japan,28,Basic,15.99,PayPal,Tablet,1,Horror,154,9,12,89,2.3,20,21,56,No,1,False,0,Female,True,0.26
U136480,43,Female,Germany,44,Standard,15.99,Debit Card,Mobile,2,Romance,214,7,3,95,4.6,7,28,30,No,1,False,0,Female,True,0.30000000000000004
U124148,26,Female,Japan,55,Standard,7.99,Debit Card,Smart TV,1,Drama,274,6,12,41,2.8,1,71,1,No,1,True,3,Female,True,0.25
U105503,62,Male,Germany,9,Premium,15.99,PayPal,Smart TV,3,Comedy,114,10,8,88,2.4,21,49,28,Yes,0,False,0,Female,False,0.65
U103918,53,Female,Canada,38,Standard,7.99,Debit Card,Tablet,2,Thriller,143,18,8,63,4.2,0,10,42,No,1,False,0,Female,True,0.18999999999999995
U138478,20,Male,Canada,49,Standard,15.99,UPI,Mobile,1,Action,142,2,1,88,2.1,27,57,31,No,0,False,0,Male,True,0.24
U121123,20,Other,Brazil,12,Standard,7.99,UPI,Smart TV,2,Thriller,159,9,11,31,1.7,32,63,54,No,2,False,0,Other,True,0.28
U149717,54,Female,Spain,4,Premium,12.99,Debit Card,Tablet,1,Documentary,61,19,14,44,4.8,16,59,47,No,1,False,1,Female,True,0.17000000000000004
U142294,63,Other,UK,32,Premium,7.99,Debit Card,Smart TV,3,Romance,66,6,11,46,3.2,38,25,15,No,2,False,0,Other,True,0.20999999999999996
U147609,47,Male,Australia,33,Premium,15.99,Credit Card,Mobile,2,Action,95,16,3,45,2.6,37,27,59,Yes,0,False,0,Male,True,0.22999999999999998
U111076,24,Other,UK,47,Standard,15.99,Debit Card,Smart TV,3,Horror,167,3,7,42,3.2,16,2,34,Yes,2,False,0,Other,True,0.27
U141514,57,Male,Spain,29,Premium,15.99,PayPal,Laptop,2,Action,228,2,12,60,3.1,37,94,48,No,0,False,0,Male,True,0.32999999999999996
U122062,61,Male,UK,7,Basic,7.99,Debit Card,Smart TV,1,Romance,294,13,2,52,2.6,29,65,38,Yes,0,False,0,Male,True,0.21999999999999997
U109413,31,Male,France,58,Premium,7.99,PayPal,Smart TV,1,Action,190,15,13,94,4.5,29,0,8,No,0,True,4,Other,False,0.61
U138340,24,Female,Spain,41,Premium,7.99,UPI,Tablet,3,Documentary,64,19,9,86,3.9,43,69,54,No,1,False,0,Other,False,0.64
U130263,48,Male,Japan,1,Premium,12.99,Credit Card,Tablet,2,Horror,179,4,4,96,2.3,9,34,54,No,0,False,0,Male,True,0.18000000000000005
U141252,18,Female,Germany,11,Premium,15.99,Credit Card,Laptop,2,Thriller,176,10,5,94,3.1,43,52,5,No,1,False,0,Female,True,0.19999999999999996
U114644,36,Other,France,16,Standard,7.99,Credit Card,Laptop,3,Thriller,217,16,14,34,3.6,40,94,13,No,2,False,1,Other,True,0.22999999999999998
U126335,52,Female,Canada,18,Basic,12.99,Credit Card,Mobile,1,Documentary,64,2,6,57,2.1,22,13,24,No,1,False,0,Female,True,0.28
U128102,53,Other,France,16,Standard,7.99,Credit Card,Smart TV,3,Sci-Fi,126,2,14,87,3.5,34,17,2,No,2,False,1,Other,True,0.18000000000000005
U117523,48,Male,France,1,Basic,12.99,UPI,Mobile,2,Action,67,19,2,49,1.3,23,41,3,No,0,False,0,Male,True,0.26
U124712,32,Female,Australia,37,Standard,15.99,UPI,Mobile,2,Romance,237,19,2,30,1.8,28,65,49,No,1,False,0,Female,True,0.56
U140485,32,Female,India,23,Premium,7.99,Debit Card,Laptop,1,Horror,39,1,0,74,4.0,4,4,56,Yes,1,True,3,Male,False,0.6
U103850,30,Other,Spain,38,Premium,7.99,Credit Card,Mobile,1,Documentary,113,3,8,82,4.5,11,30,8,No,2,False,0,Other,True,0.18000000000000005
U140040,33,Other,Spain,57,Standard,7.99,PayPal,Tablet,3,Sci-Fi,15,2,13,46,2.4,17,84,47,No,2,True,3,Other,True,0.28
U115267,53,Female,Japan,31,Basic,15.99,UPI,Smart TV,2,Documentary,191,15,1,82,4.9,25,37,43,No,1,False,0,Female,True,0.26
U149146,58,Other,UK,24,Basic,12.99,PayPal,Smart TV,2,Action,174,9,0,42,4.5,38,69,5,No,2,False,0,Other,True,0.20999999999999996
U130001,35,Other,India,25,Basic,15.99,UPI,Laptop,1,Comedy,58,15,10,96,3.2,29,90,44,No,2,False,0,Other,True,0.52
U145926,50,Female,Japan,29,Standard,7.99,UPI,Smart TV,3,Comedy,57,5,3,71,3.4,34,81,7,No,1,False,0,Male,False,0.6
U143824,57,Other,UK,57,Premium,12.99,Debit Card,Smart TV,3,Action,176,15,13,88,4.4,24,73,42,No,2,False,0,Other,True,0.16000000000000003
U117240,59,Other,India,29,Standard,15.99,Credit Card,Smart TV,2,Romance,92,12,8,78,1.9,43,24,27,No,2,False,0,Other,True,0.31000000000000005
U104892,32,Male,Brazil,21,Standard,12.99,PayPal,Laptop,1,Action,51,15,1,61,2.6,17,73,53,No,0,False,0,Female,False,0.61
U100725,28,Female,Australia,37,Basic,12.99,Credit Card,Mobile,2,Horror,80,18,5,62,4.2,4,86,4,Yes,1,False,0,Female,True,0.53
U122949,59,Male,USA,40,Premium,15.99,UPI,Laptop,3,Drama,209,7,3,59,1.4,20,46,25,No,0,False,0,Male,True,0.27
U134657,39,Female,Germany,23,Standard,12.99,Debit Card,Mobile,1,Horror,160,10,1,33,3.1,9,19,6,No,1,False,0,Female,True,0.14
U137213,21,Male,Canada,57,Standard,7.99,Credit Card,Tablet,2,Sci-Fi,246,8,14,96,1.7,10,11,16,Yes,0,True,4,Male,True,0.61
U120304,52,Other,France,25,Basic,15.99,UPI,Mobile,3,Action,191,10,4,89,3.1,40,30,26,No,2,False,0,Other,True,0.28
U115269,47,Male,USA,25,Basic,15.99,Debit Card,Smart TV,3,Comedy,227,6,6,46,2.1,0,20,51,No,0,False,0,Male,True,0.25
U122367,45,Other,UK,59,Basic,15.99,UPI,Laptop,3,Thriller,182,12,2,62,1.1,25,31,36,No,2,False,0,Other,True,0.27
U142684,36,Female,Japan,15,Basic,15.99,Debit Card,Laptop,1,Drama,191,8,14,80,4.4,37,16,45,No,1,False,0,Female,True,0.18000000000000005
U146734,63,Other,Japan,25,Standard,12.99,Credit Card,Smart TV,1,Sci-Fi,178,9,3,39,2.7,36,81,40,No,2,False,0,Other,True,0.53
U111732,40,Other,Germany,5,Standard,12.99,Debit Card,Laptop,2,Horror,202,19,2,99,3.7,33,88,46,No,2,False,0,Other,True,0.24
U118619,61,Other,Japan,3,Basic,12.99,PayPal,Laptop,3,Action,90,5,13,39,2.4,7,60,8,No,2,False,1,Other,True,0.13
U148492,18,Female,Australia,37,Basic,12.99,PayPal,Smart TV,2,Horror,215,9,7,50,1.1,1,30,53,No,1,False,0,Female,True,0.26
U126803,38,Male,Australia,38,Standard,12.99,Debit Card,Smart TV,3,Sci-Fi,45,9,6,74,4.3,39,35,32,No,0,False,0,Male,True,0.18000000000000005
U144305,38,Female,USA,29,Standard,15.99,PayPal,Mobile,2,Documentary,208,4,12,30,2.8,34,28,43,Yes,1,False,0,Female,True,0.28
U147522,41,Female,France,36,Basic,15.99,UPI,Tablet,1,Horror,141,13,10,51,2.4,39,52,48,No,1,False,0,Female,True,0.25
U132207,49,Other,Canada,42,Standard,12.99,Debit Card,Laptop,1,Romance,146,6,13,36,4.6,17,29,40,No,2,False,0,Other,True,0.19999999999999996
U102530,26,Female,Australia,44,Premium,7.99,PayPal,Smart TV,3,Comedy,73,16,9,67,2.1,12,6,45,No,1,False,0,Female,True,0.27
U117746,32,Female,Germany,52,Premium,12.99,PayPal,Mobile,2,Horror,281,5,14,40,4.1,14,60,49,No,1,False,0,Other,False,0.62
U108270,37,Male,India,55,Premium,7.99,Credit Card,Mobile,1,Documentary,211,18,0,46,1.4,0,83,44,No,0,True,3,Male,True,0.19999999999999996
U115079,24,Male,Germany,28,Premium,7.99,Credit Card,Laptop,2,Thriller,62,2,7,46,3.1,14,39,24,No,0,False,0,Male,True,0.19999999999999996
U113624,39,Female,France,49,Standard,7.99,PayPal,Tablet,3,Sci-Fi,231,2,14,96,1.6,12,97,50,No,1,False,2,Female,True,0.22999999999999998
U130638,42,Male,Japan,55,Premium,15.99,Debit Card,Mobile,3,Action,279,1,5,55,1.2,40,47,34,No,0,False,0,Male,True,0.18000000000000005
U130440,20,Other,Brazil,35,Premium,12.99,PayPal,Smart TV,2,Thriller,171,9,3,69,1.4,27,86,57,No,2,False,0,Other,True,0.31999999999999995
U136056,58,Male,France,12,Standard,12.99,PayPal,Mobile,3,Romance,74,16,0,92,2.6,3,49,53,No,0,False,1,Other,False,0.62
U142651,40,Female,UK,7,Standard,15.99,Debit Card,Tablet,1,Comedy,247,6,3,58,4.0,35,87,56,No,1,False,0,Female,True,0.20999999999999996
U136803,45,Female,France,57,Basic,15.99,PayPal,Tablet,2,Action,124,10,13,53,4.6,48,67,33,No,1,False,0,Female,True,0.20999999999999996
U148224,54,Other,USA,30,Premium,7.99,Debit Card,Mobile,1,Thriller,276,1,12,62,2.9,14,88,48,No,2,False,0,Other,True,0.24
U129226,29,Other,Brazil,22,Standard,7.99,UPI,Mobile,3,Sci-Fi,291,9,7,89,3.5,17,21,51,No,2,False,1,Other,True,0.63
U105633,19,Female,Canada,22,Premium,15.99,Debit Card,Laptop,3,Drama,260,15,3,77,1.9,17,57,37,No,1,False,0,Female,True,0.27
U105987,41,Other,Canada,33,Basic,12.99,Debit Card,Laptop,2,Romance,278,1,2,30,1.1,44,72,44,No,2,False,0,Female,False,0.64
U148063,33,Other,UK,8,Basic,12.99,Debit Card,Laptop,2,Sci-Fi,252,17,13,45,1.3,3,1,0,Yes,2,True,4,Other,True,0.19999999999999996
U101812,47,Other,Australia,39,Basic,15.99,Debit Card,Smart TV,2,Sci-Fi,187,8,8,77,4.4,16,16,51,No,2,False,0,Other,True,0.18000000000000005
U127578,26,Female,Brazil,38,Basic,15.99,Debit Card,Tablet,1,Romance,194,18,13,65,3.3,15,12,52,Yes,1,False,0,Female,True,0.29000000000000004
U116823,48,Male,India,3,Premium,12.99,Debit Card,Tablet,1,Drama,36,10,13,89,3.7,33,5,16,No,0,False,1,Male,True,0.27
U103928,30,Male,Japan,24,Standard,15.99,UPI,Tablet,1,Horror,225,6,6,98,3.5,30,26,12,No,0,False,0,Male,True,0.18000000000000005
U137286,45,Female,Spain,6,Premium,12.99,Credit Card,Smart TV,3,Action,151,15,13,36,2.9,17,90,4,No,1,False,0,Female,True,0.26
U125045,51,Male,India,33,Standard,7.99,PayPal,Mobile,1,Drama,168,2,5,74,1.3,9,8,49,No,0,False,0,Male,True,0.31000000000000005
U115727,37,Other,Germany,3,Basic,15.99,Debit Card,Tablet,1,Sci-Fi,25,3,6,34,3.3,21,35,15,Yes,2,False,0,Female,False,0.5
U129600,43,Other,UK,54,Standard,7.99,UPI,Tablet,2,Romance,248,6,12,38,1.8,30,42,10,No,2,False,0,Other,True,0.31000000000000005
U110430,62,Other,Spain,35,Standard,12.99,PayPal,Laptop,2,Comedy,116,15,12,74,2.8,7,4,20,No,2,False,0,Other,True,0.32999999999999996
U125768,53,Male,Canada,36,Basic,15.99,PayPal,Smart TV,2,Thriller,62,6,0,96,3.0,30,53,33,No,0,False,0,Male,True,0.19999999999999996
U129103,58,Female,Canada,18,Premium,15.99,UPI,Mobile,3,Thriller,139,15,13,58,3.8,49,36,47,Yes,1,False,0,Other,False,0.61
U136537,36,Other,Spain,59,Standard,7.99,Debit Card,Smart TV,3,Documentary,163,14,11,68,1.8,6,58,26,No,2,False,0,Other,True,0.29000000000000004
U139328,21,Male,Japan,46,Basic,15.99,Debit Card,Tablet,2,Action,45,12,1,85,1.6,4,44,37,No,0,False,0,Male,True,0.24
U135539,26,Other,Japan,24,Premium,12.99,UPI,Smart TV,1,Comedy,175,10,11,57,3.6,45,47,21,No,2,False,0,Other,True,0.43000000000000005
U128075,57,Other,France,8,Standard,15.99,Credit Card,Mobile,1,Documentary,229,15,1,71,1.9,29,52,14,Yes,2,False,0,Other,True,0.27
U117840,22,Other,UK,21,Standard,12.99,PayPal,Mobile,1,Horror,23,9,11,67,1.7,1,20,52,No,2,False,0,Other,True,0.19999999999999996
U127802,20,Male,France,11,Basic,12.99,PayPal,Smart TV,1,Comedy,129,7,14,79,3.5,22,33,32,No,0,False,0,Male,True,0.25
U107682,47,Female,Japan,39,Premium,7.99,UPI,Laptop,2,Thriller,47,8,8,54,1.3,13,96,56,No,1,False,0,Female,True,0.22999999999999998
U124279,39,Male,Brazil,25,Standard,12.99,UPI,Mobile,3,Sci-Fi,44,8,0,60,3.2,27,42,0,No,0,False,0,Other,False,0.53
U133070,44,Male,France,30,Basic,12.99,Credit Card,Smart TV,3,Comedy,171,15,7,34,1.2,26,32,33,No,0,False,0,Male,True,0.5800000000000001
U135557,51,Other,Japan,23,Basic,15.99,Debit Card,Mobile,3,Action,45,12,3,93,3.2,37,80,30,No,2,False,0,Other,True,0.27
U137189,20,Other,UK,38,Basic,7.99,PayPal,Smart TV,1,Thriller,185,18,10,84,3.3,30,17,24,Yes,2,False,0,Other,True,0.20999999999999996
U147149,59,Male,Brazil,25,Premium,12.99,Credit Card,Laptop,2,Action,98,15,3,44,3.9,35,81,1,No,0,False,0,Female,False,0.63
U146915,64,Female,Japan,22,Premium,15.99,PayPal,Laptop,2,Thriller,39,11,14,48,1.5,47,22,7,No,1,False,2,Female,True,0.19999999999999996
U109801,47,Other,Australia,50,Standard,15.99,Credit Card,Tablet,3,Drama,37,2,13,88,3.3,26,74,24,No,2,False,0,Other,True,0.20999999999999996
U138800,31,Female,Germany,43,Premium,15.99,PayPal,Tablet,3,Horror,122,7,3,85,3.8,13,89,22,No,1,False,0,Female,True,0.62
U124669,47,Other,Japan,5,Basic,12.99,PayPal,Laptop,3,Sci-Fi,157,13,8,31,3.2,46,89,25,No,2,False,0,Other,True,0.18000000000000005
U144233,56,Other,Australia,31,Premium,12.99,UPI,Smart TV,3,Horror,133,7,5,41,1.5,42,13,29,No,2,False,0,Other,True,0.24
U131919,34,Female,Brazil,8,Standard,15.99,PayPal,Tablet,3,Comedy,182,16,13,32,1.4,7,14,9,Yes,1,True,3,Female,True,0.21999999999999997
U107134,62,Female,UK,19,Standard,15.99,PayPal,Tablet,2,Documentary,173,3,14,53,2.4,24,15,57,Yes,1,False,0,Female,True,0.26
U133704,29,Male,India,27,Premium,7.99,Credit Card,Tablet,3,Thriller,113,11,5,63,2.0,40,7,41,No,0,False,0,Male,True,0.25
U129660,26,Male,Brazil,29,Basic,12.99,Debit Card,Laptop,1,Action,173,2,7,80,2.1,24,48,13,No,0,False,0,Male,True,0.5800000000000001
U117893,48,Other,India,53,Premium,12.99,PayPal,Tablet,3,Drama,250,3,0,61,4.5,4,51,15,No,2,False,0,Other,True,0.20999999999999996
U122018,52,Male,Germany,2,Standard,12.99,UPI,Mobile,1,Action,287,8,11,85,4.2,13,5,54,No,0,False,1,Male,True,0.21999999999999997
U113538,31,Male,Spain,26,Basic,15.99,UPI,Tablet,2,Documentary,211,3,7,30,2.2,19,79,57,No,0,False,0,Male,True,0.5800000000000001
U143118,35,Other,Spain,49,Standard,15.99,UPI,Laptop,3,Horror,88,2,5,98,2.2,3,94,50,No,2,False,1,Male,False,0.63
U136420,37,Other,Spain,42,Standard,7.99,UPI,Tablet,1,Thriller,225,9,1,84,3.9,30,40,32,No,2,False,0,Other,True,0.20999999999999996
U109405,40,Other,UK,35,Basic,12.99,Credit Card,Tablet,3,Documentary,297,9,4,82,3.8,13,77,3,No,2,False,1,Other,True,0.22999999999999998
U113413,59,Male,Australia,50,Premium,7.99,Debit Card,Laptop,1,Romance,184,18,4,65,3.0,5,91,17,No,0,False,0,Male,True,0.24
U106720,61,Male,UK,50,Basic,7.99,Debit Card,Tablet,1,Sci-Fi,172,15,1,47,1.5,37,89,5,No,0,False,1,Male,True,0.6
U115601,54,Other,Canada,12,Basic,15.99,PayPal,Mobile,1,Romance,235,14,4,50,2.5,33,32,10,No,2,False,0,Female,False,0.54
U144743,21,Female,France,25,Standard,12.99,PayPal,Mobile,1,Action,225,18,5,76,1.4,17,36,13,Yes,1,False,0,Female,True,0.28
U131138,21,Other,Germany,4,Standard,15.99,PayPal,Smart TV,1,Horror,78,12,12,42,1.9,27,56,48,Yes,2,False,0,Other,True,0.21999999999999997
U102729,39,Other,UK,13,Premium,15.99,Debit Card,Mobile,3,Drama,228,8,11,49,4.1,33,99,47,Yes,2,False,0,Other,True,0.30000000000000004
U138242,38,Female,India,38,Premium,15.99,Credit Card,Smart TV,1,Action,88,13,14,88,4.8,44,65,50,No,1,False,0,Female,True,0.30000000000000004
U129625,20,Other,UK,11,Basic,15.99,PayPal,Mobile,2,Drama,162,18,11,56,2.8,41,29,28,No,2,False,0,Other,True,0.18000000000000005
U147894,33,Other,UK,46,Standard,15.99,Debit Card,Laptop,2,Comedy,10,8,8,66,2.2,24,89,6,No,2,False,1,Other,True,0.53
U142090,41,Other,Brazil,29,Standard,15.99,Credit Card,Mobile,2,Horror,101,6,10,40,1.9,23,43,25,No,2,False,0,Other,True,0.28
U136399,42,Other,Australia,2,Premium,12.99,Debit Card,Smart TV,3,Documentary,265,4,8,76,5.0,45,60,0,No,2,False,0,Other,True,0.31000000000000005
U106244,21,Other,Brazil,12,Premium,7.99,Debit Card,Mobile,3,Comedy,251,11,14,90,2.5,24,17,53,No,2,False,1,Other,True,0.31000000000000005
U105545,39,Male,Canada,34,Premium,12.99,UPI,Tablet,2,Romance,43,3,9,73,4.9,13,66,11,No,0,False,0,Male,True,0.30000000000000004
U104064,55,Female,Australia,33,Basic,12.99,Debit Card,Mobile,1,Sci-Fi,40,15,10,77,3.0,24,63,42,No,1,False,0,Female,True,0.29000000000000004
U112851,57,Other,Spain,44,Basic,15.99,Debit Card,Mobile,3,Documentary,108,12,1,70,1.7,44,91,52,No,2,False,0,Other,True,0.17000000000000004
U121802,47,Male,France,58,Basic,12.99,Credit Card,Laptop,3,Horror,170,4,11,62,3.3,43,76,57,Yes,0,False,0,Male,True,0.31000000000000005
U141163,49,Female,France,18,Basic,15.99,Debit Card,Mobile,1,Sci-Fi,120,3,3,73,2.9,2,98,56,No,1,False,0,Female,True,0.24
U106232,58,Other,Australia,38,Basic,7.99,UPI,Tablet,2,Sci-Fi,277,6,5,30,3.5,48,37,21,Yes,2,False,0,Other,True,0.22999999999999998
U103862,38,Male,Germany,30,Basic,15.99,UPI,Tablet,2,Documentary,197,12,11,95,4.9,35,46,21,No,0,False,0,Male,True,0.25
U135094,39,Other,Japan,34,Basic,12.99,PayPal,Laptop,1,Thriller,256,4,6,48,3.5,31,95,17,Yes,2,False,0,Other,True,0.5800000000000001
U140195,19,Male,UK,42,Standard,12.99,UPI,Laptop,1,Documentary,167,18,9,74,4.0,31,36,57,No,0,False,0,Other,False,0.56
U139250,48,Female,Japan,39,Premium,7.99,Credit Card,Smart TV,1,Thriller,26,5,12,87,1.6,20,43,39,Yes,1,False,0,Male,False,0.56
U106217,62,Male,Brazil,39,Basic,12.99,Credit Card,Laptop,3,Horror,205,1,7,58,4.8,30,73,24,No,0,False,0,Female,False,0.5900000000000001
U136775,25,Other,USA,55,Basic,12.99,Debit Card,Smart TV,1,Thriller,74,12,14,95,2.2,7,8,32,No,2,False,0,Other,True,0.27
U142976,61,Male,Brazil,1,Basic,7.99,Credit Card,Mobile,1,Documentary,158,4,2,95,2.3,24,97,30,No,0,False,2,Male,True,0.26
U148467,61,Female,USA,6,Basic,7.99,Debit Card,Smart TV,2,Action,16,17,8,99,1.7,39,32,6,No,1,True,3,Female,True,0.16000000000000003
U114831,24,Female,USA,52,Standard,15.99,PayPal,Smart TV,3,Drama,274,8,14,61,2.8,46,75,12,No,1,False,0,Female,True,0.29000000000000004
U130092,31,Other,Canada,19,Premium,12.99,PayPal,Mobile,2,Sci-Fi,185,12,3,50,3.5,49,96,10,No,2,False,0,Male,False,0.63
U108893,18,Female,Canada,47,Premium,12.99,UPI,Smart TV,2,Documentary,247,9,8,50,1.6,46,34,30,No,1,False,0,Female,True,0.5700000000000001
U106020,22,Other,India,14,Premium,12.99,Debit Card,Tablet,1,Sci-Fi,90,6,8,92,4.3,19,20,6,No,2,False,0,Other,True,0.26
U146088,19,Female,Japan,36,Standard,7.99,PayPal,Tablet,2,Sci-Fi,24,12,2,50,3.9,32,66,18,No,1,False,0,Female,True,0.22999999999999998
U115242,64,Female,UK,7,Premium,12.99,UPI,Laptop,2,Drama,82,1,14,57,1.9,45,32,43,No,1,False,1,Female,True,0.20999999999999996
U145307,55,Female,India,34,Premium,12.99,Debit Card,Tablet,1,Romance,25,16,4,54,2.8,29,47,9,No,1,False,0,Female,True,0.26
U126550,57,Male,Canada,51,Premium,15.99,Debit Card,Smart TV,2,Documentary,281,6,11,46,1.4,49,90,5,No,0,True,3,Male,True,0.31000000000000005
U106034,31,Male,France,9,Basic,7.99,PayPal,Tablet,2,Romance,64,17,2,67,4.0,14,42,16,No,0,False,0,Other,False,0.52
U107905,22,Male,Canada,33,Standard,12.99,Debit Card,Laptop,1,Documentary,25,6,6,93,3.4,47,80,56,No,0,False,1,Male,True,0.31000000000000005
U132225,43,Other,Brazil,1,Premium,12.99,UPI,Mobile,2,Action,91,19,0,77,4.5,16,44,13,No,2,False,0,Other,True,0.29000000000000004
U106017,49,Other,Australia,3,Standard,15.99,Credit Card,Tablet,1,Thriller,46,3,9,95,3.5,35,47,18,No,2,False,0,Other,True,0.24
U121879,36,Male,Brazil,37,Standard,7.99,UPI,Mobile,3,Drama,199,5,14,79,3.7,19,72,5,Yes,0,False,0,Male,True,0.31999999999999995
U102791,53,Male,Japan,40,Basic,12.99,UPI,Laptop,1,Drama,211,10,6,58,1.5,27,58,41,No,0,False,0,Male,True,0.26
U142605,50,Other,Japan,9,Standard,15.99,PayPal,Smart TV,1,Action,296,13,11,40,2.0,42,9,58,No,2,False,2,Other,True,0.24
U105823,49,Female,India,9,Premium,7.99,Credit Card,Laptop,3,Action,42,7,9,56,2.7,36,50,13,Yes,1,False,0,Female,True,0.5700000000000001
U115387,63,Other,Spain,48,Standard,12.99,Debit Card,Smart TV,1,Action,111,11,9,39,2.6,1,98,43,No,2,False,2,Other,True,0.5800000000000001
U129561,62,Female,Japan,11,Standard,12.99,UPI,Laptop,1,Sci-Fi,90,17,5,34,3.5,42,71,21,No,1,False,0,Female,True,0.28
U139475,23,Female,France,59,Standard,12.99,PayPal,Smart TV,1,Documentary,80,1,7,65,1.9,20,28,49,No,1,False,0,Female,True,0.19999999999999996
